Livelihood Number,Name,pctFoodCrops,pctIncomeWag,PctDCS,PctIncCashCrops
1,Central Karonga,76,26.01626016,17.07317073,14.63414634
2,Chitipa Maize and Millet,55,30.09708738,2.330097,24.51456311
3,Kasungu-Lilongwe Plain,55,21.8878249,2.73597811,73.1874145
4,Lake Chilwa & Phalombe Plain,52,16.48308726,7.96812749,53.20678072
5,Lower Shire,69,22.7571116,16.63019694,45.29540481
6,Middle Shire,55,30.58103976,10.87325858,46.0414543
7,Misuku Hills,74,9.7,0,27.27272727
8,Mzimba Self-Sufficient,67,24.178,14.12429379,63.733
9,Nkhata Bay Cassava,88,9.456,58.47457627,35.724
10,Northern Karonga,68,36.31647211,4.6692607,28.75054042
11,Northen Lakeshore,61,19.97146933,71.89728959,2.995720399
12,Phirilongwe,52,24.78244419,5.788876277,56.56451003
13,Rift Valley Escarpment,58,16.30257581,20.8550428,18.65946248
14,Shire Highlands,54,45.53699284,5.53699284,5.393794749
15,Southern Lakeshore,46,50.33,8.93,23.51
16,Thyolo Mulanje Tea Estates,47,41.87,9.44,37.97
17,Western Rumphi & Mzimba,53,14.26,0,84.1
18,Border Productive Highlands,29,33.79,8.64,36.66